,date,start_of_the_year,start_of_the_quarter,start_of_the_month
929,2014-07-18,2014-01-01,2014-07-01,2014-07-01
930,2014-07-19,2014-01-01,2014-07-01,2014-07-01
931,2014-07-20,2014-01-01,2014-07-01,2014-07-01
932,2014-07-21,2014-01-01,2014-07-01,2014-07-01
933,2014-07-22,2014-01-01,2014-07-01,2014-07-01
934,2014-07-23,2014-01-01,2014-07-01,2014-07-01
935,2014-07-24,2014-01-01,2014-07-01,2014-07-01
936,2014-07-25,2014-01-01,2014-07-01,2014-07-01
937,2014-07-26,2014-01-01,2014-07-01,2014-07-01
938,2014-07-27,2014-01-01,2014-07-01,2014-07-01
939,2014-07-28,2014-01-01,2014-07-01,2014-07-01
940,2014-07-29,2014-01-01,2014-07-01,2014-07-01
941,2014-07-30,2014-01-01,2014-07-01,2014-07-01
942,2014-07-31,2014-01-01,2014-07-01,2014-07-01
943,2014-08-01,2014-01-01,2014-07-01,2014-08-01
944,2014-08-02,2014-01-01,2014-07-01,2014-08-01
945,2014-08-03,2014-01-01,2014-07-01,2014-08-01
946,2014-08-04,2014-01-01,2014-07-01,2014-08-01
947,2014-08-05,2014-01-01,2014-07-01,2014-08-01
948,2014-08-06,2014-01-01,2014-07-01,2014-08-01
949,2014-08-07,2014-01-01,2014-07-01,2014-08-01
950,2014-08-08,2014-01-01,2014-07-01,2014-08-01
951,2014-08-09,2014-01-01,2014-07-01,2014-08-01
952,2014-08-10,2014-01-01,2014-07-01,2014-08-01
953,2014-08-11,2014-01-01,2014-07-01,2014-08-01
954,2014-08-12,2014-01-01,2014-07-01,2014-08-01
955,2014-08-13,2014-01-01,2014-07-01,2014-08-01
956,2014-08-14,2014-01-01,2014-07-01,2014-08-01
957,2014-08-15,2014-01-01,2014-07-01,2014-08-01
958,2014-08-16,2014-01-01,2014-07-01,2014-08-01
959,2014-08-17,2014-01-01,2014-07-01,2014-08-01
960,2014-08-18,2014-01-01,2014-07-01,2014-08-01
961,2014-08-19,2014-01-01,2014-07-01,2014-08-01
962,2014-08-20,2014-01-01,2014-07-01,2014-08-01
963,2014-08-21,2014-01-01,2014-07-01,2014-08-01
964,2014-08-22,2014-01-01,2014-07-01,2014-08-01
965,2014-08-23,2014-01-01,2014-07-01,2014-08-01
966,2014-08-24,2014-01-01,2014-07-01,2014-08-01
967,2014-08-25,2014-01-01,2014-07-01,2014-08-01
968,2014-08-26,2014-01-01,2014-07-01,2014-08-01
969,2014-08-27,2014-01-01,2014-07-01,2014-08-01
970,2014-08-28,2014-01-01,2014-07-01,2014-08-01
971,2014-08-29,2014-01-01,2014-07-01,2014-08-01
972,2014-08-30,2014-01-01,2014-07-01,2014-08-01
973,2014-08-31,2014-01-01,2014-07-01,2014-08-01
974,2014-09-01,2014-01-01,2014-07-01,2014-09-01
975,2014-09-02,2014-01-01,2014-07-01,2014-09-01
976,2014-09-03,2014-01-01,2014-07-01,2014-09-01
977,2014-09-04,2014-01-01,2014-07-01,2014-09-01
978,2014-09-05,2014-01-01,2014-07-01,2014-09-01
979,2014-09-06,2014-01-01,2014-07-01,2014-09-01
980,2014-09-07,2014-01-01,2014-07-01,2014-09-01
981,2014-09-08,2014-01-01,2014-07-01,2014-09-01
982,2014-09-09,2014-01-01,2014-07-01,2014-09-01
983,2014-09-10,2014-01-01,2014-07-01,2014-09-01
984,2014-09-11,2014-01-01,2014-07-01,2014-09-01
985,2014-09-12,2014-01-01,2014-07-01,2014-09-01
986,2014-09-13,2014-01-01,2014-07-01,2014-09-01
987,2014-09-14,2014-01-01,2014-07-01,2014-09-01
988,2014-09-15,2014-01-01,2014-07-01,2014-09-01
989,2014-09-16,2014-01-01,2014-07-01,2014-09-01
990,2014-09-17,2014-01-01,2014-07-01,2014-09-01
991,2014-09-18,2014-01-01,2014-07-01,2014-09-01
992,2014-09-19,2014-01-01,2014-07-01,2014-09-01
993,2014-09-20,2014-01-01,2014-07-01,2014-09-01
994,2014-09-21,2014-01-01,2014-07-01,2014-09-01
995,2014-09-22,2014-01-01,2014-07-01,2014-09-01
996,2014-09-23,2014-01-01,2014-07-01,2014-09-01
997,2014-09-24,2014-01-01,2014-07-01,2014-09-01
998,2014-09-25,2014-01-01,2014-07-01,2014-09-01
999,2014-09-26,2014-01-01,2014-07-01,2014-09-01
1000,2014-09-27,2014-01-01,2014-07-01,2014-09-01
1001,2014-09-28,2014-01-01,2014-07-01,2014-09-01
1002,2014-09-29,2014-01-01,2014-07-01,2014-09-01
1003,2014-09-30,2014-01-01,2014-07-01,2014-09-01
1004,2014-10-01,2014-01-01,2014-10-01,2014-10-01
1005,2014-10-02,2014-01-01,2014-10-01,2014-10-01
1006,2014-10-03,2014-01-01,2014-10-01,2014-10-01
1007,2014-10-04,2014-01-01,2014-10-01,2014-10-01
1008,2014-10-05,2014-01-01,2014-10-01,2014-10-01
1009,2014-10-06,2014-01-01,2014-10-01,2014-10-01
1010,2014-10-07,2014-01-01,2014-10-01,2014-10-01
1011,2014-10-08,2014-01-01,2014-10-01,2014-10-01
1012,2014-10-09,2014-01-01,2014-10-01,2014-10-01
1013,2014-10-10,2014-01-01,2014-10-01,2014-10-01
1014,2014-10-11,2014-01-01,2014-10-01,2014-10-01
1015,2014-10-12,2014-01-01,2014-10-01,2014-10-01
1016,2014-10-13,2014-01-01,2014-10-01,2014-10-01
1017,2014-10-14,2014-01-01,2014-10-01,2014-10-01
1018,2014-10-15,2014-01-01,2014-10-01,2014-10-01
1019,2014-10-16,2014-01-01,2014-10-01,2014-10-01
1020,2014-10-17,2014-01-01,2014-10-01,2014-10-01
1021,2014-10-18,2014-01-01,2014-10-01,2014-10-01
1022,2014-10-19,2014-01-01,2014-10-01,2014-10-01
1023,2014-10-20,2014-01-01,2014-10-01,2014-10-01
1024,2014-10-21,2014-01-01,2014-10-01,2014-10-01
1025,2014-10-22,2014-01-01,2014-10-01,2014-10-01
1026,2014-10-23,2014-01-01,2014-10-01,2014-10-01
1027,2014-10-24,2014-01-01,2014-10-01,2014-10-01
1028,2014-10-25,2014-01-01,2014-10-01,2014-10-01
1029,2014-10-26,2014-01-01,2014-10-01,2014-10-01
1030,2014-10-27,2014-01-01,2014-10-01,2014-10-01
1031,2014-10-28,2014-01-01,2014-10-01,2014-10-01
1032,2014-10-29,2014-01-01,2014-10-01,2014-10-01
1033,2014-10-30,2014-01-01,2014-10-01,2014-10-01
1034,2014-10-31,2014-01-01,2014-10-01,2014-10-01
1035,2014-11-01,2014-01-01,2014-10-01,2014-11-01
1036,2014-11-02,2014-01-01,2014-10-01,2014-11-01
1037,2014-11-03,2014-01-01,2014-10-01,2014-11-01
1038,2014-11-04,2014-01-01,2014-10-01,2014-11-01
1039,2014-11-05,2014-01-01,2014-10-01,2014-11-01
1040,2014-11-06,2014-01-01,2014-10-01,2014-11-01
1041,2014-11-07,2014-01-01,2014-10-01,2014-11-01
1042,2014-11-08,2014-01-01,2014-10-01,2014-11-01
1043,2014-11-09,2014-01-01,2014-10-01,2014-11-01
1044,2014-11-10,2014-01-01,2014-10-01,2014-11-01
1045,2014-11-11,2014-01-01,2014-10-01,2014-11-01
1046,2014-11-12,2014-01-01,2014-10-01,2014-11-01
1047,2014-11-13,2014-01-01,2014-10-01,2014-11-01
1048,2014-11-14,2014-01-01,2014-10-01,2014-11-01
1049,2014-11-15,2014-01-01,2014-10-01,2014-11-01
1050,2014-11-16,2014-01-01,2014-10-01,2014-11-01
1051,2014-11-17,2014-01-01,2014-10-01,2014-11-01
1052,2014-11-18,2014-01-01,2014-10-01,2014-11-01
1053,2014-11-19,2014-01-01,2014-10-01,2014-11-01
1054,2014-11-20,2014-01-01,2014-10-01,2014-11-01
1055,2014-11-21,2014-01-01,2014-10-01,2014-11-01
1056,2014-11-22,2014-01-01,2014-10-01,2014-11-01
1057,2014-11-23,2014-01-01,2014-10-01,2014-11-01
1058,2014-11-24,2014-01-01,2014-10-01,2014-11-01
1059,2014-11-25,2014-01-01,2014-10-01,2014-11-01
1060,2014-11-26,2014-01-01,2014-10-01,2014-11-01
1061,2014-11-27,2014-01-01,2014-10-01,2014-11-01
1062,2014-11-28,2014-01-01,2014-10-01,2014-11-01
1063,2014-11-29,2014-01-01,2014-10-01,2014-11-01
1064,2014-11-30,2014-01-01,2014-10-01,2014-11-01
1065,2014-12-01,2014-01-01,2014-10-01,2014-12-01
1066,2014-12-02,2014-01-01,2014-10-01,2014-12-01
1067,2014-12-03,2014-01-01,2014-10-01,2014-12-01
1068,2014-12-04,2014-01-01,2014-10-01,2014-12-01
1069,2014-12-05,2014-01-01,2014-10-01,2014-12-01
1070,2014-12-06,2014-01-01,2014-10-01,2014-12-01
1071,2014-12-07,2014-01-01,2014-10-01,2014-12-01
1072,2014-12-08,2014-01-01,2014-10-01,2014-12-01
1073,2014-12-09,2014-01-01,2014-10-01,2014-12-01
1074,2014-12-10,2014-01-01,2014-10-01,2014-12-01
1075,2014-12-11,2014-01-01,2014-10-01,2014-12-01
1076,2014-12-12,2014-01-01,2014-10-01,2014-12-01
1077,2014-12-13,2014-01-01,2014-10-01,2014-12-01
1078,2014-12-14,2014-01-01,2014-10-01,2014-12-01
1079,2014-12-15,2014-01-01,2014-10-01,2014-12-01
1080,2014-12-16,2014-01-01,2014-10-01,2014-12-01
1081,2014-12-17,2014-01-01,2014-10-01,2014-12-01
1082,2014-12-18,2014-01-01,2014-10-01,2014-12-01
1083,2014-12-19,2014-01-01,2014-10-01,2014-12-01
1084,2014-12-20,2014-01-01,2014-10-01,2014-12-01
1085,2014-12-21,2014-01-01,2014-10-01,2014-12-01
1086,2014-12-22,2014-01-01,2014-10-01,2014-12-01
1087,2014-12-23,2014-01-01,2014-10-01,2014-12-01
1088,2014-12-24,2014-01-01,2014-10-01,2014-12-01
1089,2014-12-25,2014-01-01,2014-10-01,2014-12-01
1090,2014-12-26,2014-01-01,2014-10-01,2014-12-01
1091,2014-12-27,2014-01-01,2014-10-01,2014-12-01
1092,2014-12-28,2014-01-01,2014-10-01,2014-12-01
1093,2014-12-29,2014-01-01,2014-10-01,2014-12-01
1094,2014-12-30,2014-01-01,2014-10-01,2014-12-01
1095,2014-12-31,2014-01-01,2014-10-01,2014-12-01
1096,2015-01-01,2015-01-01,2015-01-01,2015-01-01
1097,2015-01-02,2015-01-01,2015-01-01,2015-01-01
1098,2015-01-03,2015-01-01,2015-01-01,2015-01-01
1099,2015-01-04,2015-01-01,2015-01-01,2015-01-01
1100,2015-01-05,2015-01-01,2015-01-01,2015-01-01
1101,2015-01-06,2015-01-01,2015-01-01,2015-01-01
1102,2015-01-07,2015-01-01,2015-01-01,2015-01-01
1103,2015-01-08,2015-01-01,2015-01-01,2015-01-01
1104,2015-01-09,2015-01-01,2015-01-01,2015-01-01
1105,2015-01-10,2015-01-01,2015-01-01,2015-01-01
1106,2015-01-11,2015-01-01,2015-01-01,2015-01-01
1107,2015-01-12,2015-01-01,2015-01-01,2015-01-01
1108,2015-01-13,2015-01-01,2015-01-01,2015-01-01
1109,2015-01-14,2015-01-01,2015-01-01,2015-01-01
1110,2015-01-15,2015-01-01,2015-01-01,2015-01-01
1111,2015-01-16,2015-01-01,2015-01-01,2015-01-01
1112,2015-01-17,2015-01-01,2015-01-01,2015-01-01
1113,2015-01-18,2015-01-01,2015-01-01,2015-01-01
1114,2015-01-19,2015-01-01,2015-01-01,2015-01-01
1115,2015-01-20,2015-01-01,2015-01-01,2015-01-01
1116,2015-01-21,2015-01-01,2015-01-01,2015-01-01
1117,2015-01-22,2015-01-01,2015-01-01,2015-01-01
1118,2015-01-23,2015-01-01,2015-01-01,2015-01-01
1119,2015-01-24,2015-01-01,2015-01-01,2015-01-01
1120,2015-01-25,2015-01-01,2015-01-01,2015-01-01
1121,2015-01-26,2015-01-01,2015-01-01,2015-01-01
1122,2015-01-27,2015-01-01,2015-01-01,2015-01-01
1123,2015-01-28,2015-01-01,2015-01-01,2015-01-01
1124,2015-01-29,2015-01-01,2015-01-01,2015-01-01
1125,2015-01-30,2015-01-01,2015-01-01,2015-01-01
1126,2015-01-31,2015-01-01,2015-01-01,2015-01-01
1127,2015-02-01,2015-01-01,2015-01-01,2015-02-01
1128,2015-02-02,2015-01-01,2015-01-01,2015-02-01
1129,2015-02-03,2015-01-01,2015-01-01,2015-02-01
1130,2015-02-04,2015-01-01,2015-01-01,2015-02-01
1131,2015-02-05,2015-01-01,2015-01-01,2015-02-01
1132,2015-02-06,2015-01-01,2015-01-01,2015-02-01
1133,2015-02-07,2015-01-01,2015-01-01,2015-02-01
1134,2015-02-08,2015-01-01,2015-01-01,2015-02-01
1135,2015-02-09,2015-01-01,2015-01-01,2015-02-01
1136,2015-02-10,2015-01-01,2015-01-01,2015-02-01
1137,2015-02-11,2015-01-01,2015-01-01,2015-02-01
1138,2015-02-12,2015-01-01,2015-01-01,2015-02-01
1139,2015-02-13,2015-01-01,2015-01-01,2015-02-01
1140,2015-02-14,2015-01-01,2015-01-01,2015-02-01
1141,2015-02-15,2015-01-01,2015-01-01,2015-02-01
1142,2015-02-16,2015-01-01,2015-01-01,2015-02-01
1143,2015-02-17,2015-01-01,2015-01-01,2015-02-01
1144,2015-02-18,2015-01-01,2015-01-01,2015-02-01
1145,2015-02-19,2015-01-01,2015-01-01,2015-02-01
1146,2015-02-20,2015-01-01,2015-01-01,2015-02-01
1147,2015-02-21,2015-01-01,2015-01-01,2015-02-01
1148,2015-02-22,2015-01-01,2015-01-01,2015-02-01
1149,2015-02-23,2015-01-01,2015-01-01,2015-02-01
1150,2015-02-24,2015-01-01,2015-01-01,2015-02-01
1151,2015-02-25,2015-01-01,2015-01-01,2015-02-01
1152,2015-02-26,2015-01-01,2015-01-01,2015-02-01
1153,2015-02-27,2015-01-01,2015-01-01,2015-02-01
1154,2015-02-28,2015-01-01,2015-01-01,2015-02-01
1155,2015-03-01,2015-01-01,2015-01-01,2015-03-01
1156,2015-03-02,2015-01-01,2015-01-01,2015-03-01
1157,2015-03-03,2015-01-01,2015-01-01,2015-03-01
1158,2015-03-04,2015-01-01,2015-01-01,2015-03-01
1159,2015-03-05,2015-01-01,2015-01-01,2015-03-01
1160,2015-03-06,2015-01-01,2015-01-01,2015-03-01
1161,2015-03-07,2015-01-01,2015-01-01,2015-03-01
1162,2015-03-08,2015-01-01,2015-01-01,2015-03-01
1163,2015-03-09,2015-01-01,2015-01-01,2015-03-01
1164,2015-03-10,2015-01-01,2015-01-01,2015-03-01
1165,2015-03-11,2015-01-01,2015-01-01,2015-03-01
1166,2015-03-12,2015-01-01,2015-01-01,2015-03-01
1167,2015-03-13,2015-01-01,2015-01-01,2015-03-01
1168,2015-03-14,2015-01-01,2015-01-01,2015-03-01
1169,2015-03-15,2015-01-01,2015-01-01,2015-03-01
1170,2015-03-16,2015-01-01,2015-01-01,2015-03-01
1171,2015-03-17,2015-01-01,2015-01-01,2015-03-01
1172,2015-03-18,2015-01-01,2015-01-01,2015-03-01
1173,2015-03-19,2015-01-01,2015-01-01,2015-03-01
1174,2015-03-20,2015-01-01,2015-01-01,2015-03-01
1175,2015-03-21,2015-01-01,2015-01-01,2015-03-01
1176,2015-03-22,2015-01-01,2015-01-01,2015-03-01
1177,2015-03-23,2015-01-01,2015-01-01,2015-03-01
1178,2015-03-24,2015-01-01,2015-01-01,2015-03-01
1179,2015-03-25,2015-01-01,2015-01-01,2015-03-01
1180,2015-03-26,2015-01-01,2015-01-01,2015-03-01
1181,2015-03-27,2015-01-01,2015-01-01,2015-03-01
1182,2015-03-28,2015-01-01,2015-01-01,2015-03-01
1183,2015-03-29,2015-01-01,2015-01-01,2015-03-01
1184,2015-03-30,2015-01-01,2015-01-01,2015-03-01
1185,2015-03-31,2015-01-01,2015-01-01,2015-03-01
1186,2015-04-01,2015-01-01,2015-04-01,2015-04-01
1187,2015-04-02,2015-01-01,2015-04-01,2015-04-01
1188,2015-04-03,2015-01-01,2015-04-01,2015-04-01
1189,2015-04-04,2015-01-01,2015-04-01,2015-04-01
1190,2015-04-05,2015-01-01,2015-04-01,2015-04-01
1191,2015-04-06,2015-01-01,2015-04-01,2015-04-01
1192,2015-04-07,2015-01-01,2015-04-01,2015-04-01
1193,2015-04-08,2015-01-01,2015-04-01,2015-04-01
1194,2015-04-09,2015-01-01,2015-04-01,2015-04-01
1195,2015-04-10,2015-01-01,2015-04-01,2015-04-01
1196,2015-04-11,2015-01-01,2015-04-01,2015-04-01
1197,2015-04-12,2015-01-01,2015-04-01,2015-04-01
1198,2015-04-13,2015-01-01,2015-04-01,2015-04-01
1199,2015-04-14,2015-01-01,2015-04-01,2015-04-01
1200,2015-04-15,2015-01-01,2015-04-01,2015-04-01
1201,2015-04-16,2015-01-01,2015-04-01,2015-04-01
1202,2015-04-17,2015-01-01,2015-04-01,2015-04-01
1203,2015-04-18,2015-01-01,2015-04-01,2015-04-01
1204,2015-04-19,2015-01-01,2015-04-01,2015-04-01
1205,2015-04-20,2015-01-01,2015-04-01,2015-04-01
1206,2015-04-21,2015-01-01,2015-04-01,2015-04-01
1207,2015-04-22,2015-01-01,2015-04-01,2015-04-01
1208,2015-04-23,2015-01-01,2015-04-01,2015-04-01
1209,2015-04-24,2015-01-01,2015-04-01,2015-04-01
1210,2015-04-25,2015-01-01,2015-04-01,2015-04-01
1211,2015-04-26,2015-01-01,2015-04-01,2015-04-01
1212,2015-04-27,2015-01-01,2015-04-01,2015-04-01
1213,2015-04-28,2015-01-01,2015-04-01,2015-04-01
1214,2015-04-29,2015-01-01,2015-04-01,2015-04-01
1215,2015-04-30,2015-01-01,2015-04-01,2015-04-01
1216,2015-05-01,2015-01-01,2015-04-01,2015-05-01
1217,2015-05-02,2015-01-01,2015-04-01,2015-05-01
1218,2015-05-03,2015-01-01,2015-04-01,2015-05-01
1219,2015-05-04,2015-01-01,2015-04-01,2015-05-01
1220,2015-05-05,2015-01-01,2015-04-01,2015-05-01
1221,2015-05-06,2015-01-01,2015-04-01,2015-05-01
1222,2015-05-07,2015-01-01,2015-04-01,2015-05-01
1223,2015-05-08,2015-01-01,2015-04-01,2015-05-01
1224,2015-05-09,2015-01-01,2015-04-01,2015-05-01
1225,2015-05-10,2015-01-01,2015-04-01,2015-05-01
1226,2015-05-11,2015-01-01,2015-04-01,2015-05-01
1227,2015-05-12,2015-01-01,2015-04-01,2015-05-01
1228,2015-05-13,2015-01-01,2015-04-01,2015-05-01
1229,2015-05-14,2015-01-01,2015-04-01,2015-05-01
1230,2015-05-15,2015-01-01,2015-04-01,2015-05-01
1231,2015-05-16,2015-01-01,2015-04-01,2015-05-01
1232,2015-05-17,2015-01-01,2015-04-01,2015-05-01
1233,2015-05-18,2015-01-01,2015-04-01,2015-05-01
1234,2015-05-19,2015-01-01,2015-04-01,2015-05-01
1235,2015-05-20,2015-01-01,2015-04-01,2015-05-01
1236,2015-05-21,2015-01-01,2015-04-01,2015-05-01
1237,2015-05-22,2015-01-01,2015-04-01,2015-05-01
1238,2015-05-23,2015-01-01,2015-04-01,2015-05-01
1239,2015-05-24,2015-01-01,2015-04-01,2015-05-01
1240,2015-05-25,2015-01-01,2015-04-01,2015-05-01
1241,2015-05-26,2015-01-01,2015-04-01,2015-05-01
1242,2015-05-27,2015-01-01,2015-04-01,2015-05-01
1243,2015-05-28,2015-01-01,2015-04-01,2015-05-01
1244,2015-05-29,2015-01-01,2015-04-01,2015-05-01
1245,2015-05-30,2015-01-01,2015-04-01,2015-05-01
1246,2015-05-31,2015-01-01,2015-04-01,2015-05-01
1247,2015-06-01,2015-01-01,2015-04-01,2015-06-01
1248,2015-06-02,2015-01-01,2015-04-01,2015-06-01
1249,2015-06-03,2015-01-01,2015-04-01,2015-06-01
1250,2015-06-04,2015-01-01,2015-04-01,2015-06-01
1251,2015-06-05,2015-01-01,2015-04-01,2015-06-01
1252,2015-06-06,2015-01-01,2015-04-01,2015-06-01
1253,2015-06-07,2015-01-01,2015-04-01,2015-06-01
1254,2015-06-08,2015-01-01,2015-04-01,2015-06-01
1255,2015-06-09,2015-01-01,2015-04-01,2015-06-01
1256,2015-06-10,2015-01-01,2015-04-01,2015-06-01
1257,2015-06-11,2015-01-01,2015-04-01,2015-06-01
1258,2015-06-12,2015-01-01,2015-04-01,2015-06-01
1259,2015-06-13,2015-01-01,2015-04-01,2015-06-01
1260,2015-06-14,2015-01-01,2015-04-01,2015-06-01
1261,2015-06-15,2015-01-01,2015-04-01,2015-06-01
1262,2015-06-16,2015-01-01,2015-04-01,2015-06-01
1263,2015-06-17,2015-01-01,2015-04-01,2015-06-01
1264,2015-06-18,2015-01-01,2015-04-01,2015-06-01
1265,2015-06-19,2015-01-01,2015-04-01,2015-06-01
1266,2015-06-20,2015-01-01,2015-04-01,2015-06-01
1267,2015-06-21,2015-01-01,2015-04-01,2015-06-01
1268,2015-06-22,2015-01-01,2015-04-01,2015-06-01
1269,2015-06-23,2015-01-01,2015-04-01,2015-06-01
1270,2015-06-24,2015-01-01,2015-04-01,2015-06-01
1271,2015-06-25,2015-01-01,2015-04-01,2015-06-01
1272,2015-06-26,2015-01-01,2015-04-01,2015-06-01
1273,2015-06-27,2015-01-01,2015-04-01,2015-06-01
1274,2015-06-28,2015-01-01,2015-04-01,2015-06-01
1275,2015-06-29,2015-01-01,2015-04-01,2015-06-01
1276,2015-06-30,2015-01-01,2015-04-01,2015-06-01
1277,2015-07-01,2015-01-01,2015-07-01,2015-07-01
1278,2015-07-02,2015-01-01,2015-07-01,2015-07-01
1279,2015-07-03,2015-01-01,2015-07-01,2015-07-01
1280,2015-07-04,2015-01-01,2015-07-01,2015-07-01
1281,2015-07-05,2015-01-01,2015-07-01,2015-07-01
1282,2015-07-06,2015-01-01,2015-07-01,2015-07-01
1283,2015-07-07,2015-01-01,2015-07-01,2015-07-01
1284,2015-07-08,2015-01-01,2015-07-01,2015-07-01
1285,2015-07-09,2015-01-01,2015-07-01,2015-07-01
1286,2015-07-10,2015-01-01,2015-07-01,2015-07-01
1287,2015-07-11,2015-01-01,2015-07-01,2015-07-01
1288,2015-07-12,2015-01-01,2015-07-01,2015-07-01
1289,2015-07-13,2015-01-01,2015-07-01,2015-07-01
1290,2015-07-14,2015-01-01,2015-07-01,2015-07-01
1291,2015-07-15,2015-01-01,2015-07-01,2015-07-01
1292,2015-07-16,2015-01-01,2015-07-01,2015-07-01
1293,2015-07-17,2015-01-01,2015-07-01,2015-07-01
1294,2015-07-18,2015-01-01,2015-07-01,2015-07-01
1295,2015-07-19,2015-01-01,2015-07-01,2015-07-01
1296,2015-07-20,2015-01-01,2015-07-01,2015-07-01
1297,2015-07-21,2015-01-01,2015-07-01,2015-07-01
1298,2015-07-22,2015-01-01,2015-07-01,2015-07-01
1299,2015-07-23,2015-01-01,2015-07-01,2015-07-01
1300,2015-07-24,2015-01-01,2015-07-01,2015-07-01
1301,2015-07-25,2015-01-01,2015-07-01,2015-07-01
1302,2015-07-26,2015-01-01,2015-07-01,2015-07-01
1303,2015-07-27,2015-01-01,2015-07-01,2015-07-01
1304,2015-07-28,2015-01-01,2015-07-01,2015-07-01
1305,2015-07-29,2015-01-01,2015-07-01,2015-07-01
1306,2015-07-30,2015-01-01,2015-07-01,2015-07-01
1307,2015-07-31,2015-01-01,2015-07-01,2015-07-01
1308,2015-08-01,2015-01-01,2015-07-01,2015-08-01
1309,2015-08-02,2015-01-01,2015-07-01,2015-08-01
1310,2015-08-03,2015-01-01,2015-07-01,2015-08-01
1311,2015-08-04,2015-01-01,2015-07-01,2015-08-01
1312,2015-08-05,2015-01-01,2015-07-01,2015-08-01
1313,2015-08-06,2015-01-01,2015-07-01,2015-08-01
1314,2015-08-07,2015-01-01,2015-07-01,2015-08-01
1315,2015-08-08,2015-01-01,2015-07-01,2015-08-01
1316,2015-08-09,2015-01-01,2015-07-01,2015-08-01
1317,2015-08-10,2015-01-01,2015-07-01,2015-08-01
1318,2015-08-11,2015-01-01,2015-07-01,2015-08-01
1319,2015-08-12,2015-01-01,2015-07-01,2015-08-01
1320,2015-08-13,2015-01-01,2015-07-01,2015-08-01
1321,2015-08-14,2015-01-01,2015-07-01,2015-08-01
1322,2015-08-15,2015-01-01,2015-07-01,2015-08-01
1323,2015-08-16,2015-01-01,2015-07-01,2015-08-01
1324,2015-08-17,2015-01-01,2015-07-01,2015-08-01
1325,2015-08-18,2015-01-01,2015-07-01,2015-08-01
1326,2015-08-19,2015-01-01,2015-07-01,2015-08-01
1327,2015-08-20,2015-01-01,2015-07-01,2015-08-01
1328,2015-08-21,2015-01-01,2015-07-01,2015-08-01
1329,2015-08-22,2015-01-01,2015-07-01,2015-08-01
1330,2015-08-23,2015-01-01,2015-07-01,2015-08-01
1331,2015-08-24,2015-01-01,2015-07-01,2015-08-01
1332,2015-08-25,2015-01-01,2015-07-01,2015-08-01
1333,2015-08-26,2015-01-01,2015-07-01,2015-08-01
1334,2015-08-27,2015-01-01,2015-07-01,2015-08-01
1335,2015-08-28,2015-01-01,2015-07-01,2015-08-01
1336,2015-08-29,2015-01-01,2015-07-01,2015-08-01
1337,2015-08-30,2015-01-01,2015-07-01,2015-08-01
1338,2015-08-31,2015-01-01,2015-07-01,2015-08-01
1339,2015-09-01,2015-01-01,2015-07-01,2015-09-01
1340,2015-09-02,2015-01-01,2015-07-01,2015-09-01
1341,2015-09-03,2015-01-01,2015-07-01,2015-09-01
1342,2015-09-04,2015-01-01,2015-07-01,2015-09-01
1343,2015-09-05,2015-01-01,2015-07-01,2015-09-01
1344,2015-09-06,2015-01-01,2015-07-01,2015-09-01
1345,2015-09-07,2015-01-01,2015-07-01,2015-09-01
1346,2015-09-08,2015-01-01,2015-07-01,2015-09-01
1347,2015-09-09,2015-01-01,2015-07-01,2015-09-01
1348,2015-09-10,2015-01-01,2015-07-01,2015-09-01
1349,2015-09-11,2015-01-01,2015-07-01,2015-09-01
1350,2015-09-12,2015-01-01,2015-07-01,2015-09-01
1351,2015-09-13,2015-01-01,2015-07-01,2015-09-01
1352,2015-09-14,2015-01-01,2015-07-01,2015-09-01
1353,2015-09-15,2015-01-01,2015-07-01,2015-09-01
1354,2015-09-16,2015-01-01,2015-07-01,2015-09-01
1355,2015-09-17,2015-01-01,2015-07-01,2015-09-01
1356,2015-09-18,2015-01-01,2015-07-01,2015-09-01
1357,2015-09-19,2015-01-01,2015-07-01,2015-09-01
1358,2015-09-20,2015-01-01,2015-07-01,2015-09-01
1359,2015-09-21,2015-01-01,2015-07-01,2015-09-01
1360,2015-09-22,2015-01-01,2015-07-01,2015-09-01
1361,2015-09-23,2015-01-01,2015-07-01,2015-09-01
1362,2015-09-24,2015-01-01,2015-07-01,2015-09-01
1363,2015-09-25,2015-01-01,2015-07-01,2015-09-01
1364,2015-09-26,2015-01-01,2015-07-01,2015-09-01
1365,2015-09-27,2015-01-01,2015-07-01,2015-09-01
1366,2015-09-28,2015-01-01,2015-07-01,2015-09-01
1367,2015-09-29,2015-01-01,2015-07-01,2015-09-01
1368,2015-09-30,2015-01-01,2015-07-01,2015-09-01
1369,2015-10-01,2015-01-01,2015-10-01,2015-10-01
1370,2015-10-02,2015-01-01,2015-10-01,2015-10-01
1371,2015-10-03,2015-01-01,2015-10-01,2015-10-01
1372,2015-10-04,2015-01-01,2015-10-01,2015-10-01
1373,2015-10-05,2015-01-01,2015-10-01,2015-10-01
1374,2015-10-06,2015-01-01,2015-10-01,2015-10-01
1375,2015-10-07,2015-01-01,2015-10-01,2015-10-01
1376,2015-10-08,2015-01-01,2015-10-01,2015-10-01
1377,2015-10-09,2015-01-01,2015-10-01,2015-10-01
1378,2015-10-10,2015-01-01,2015-10-01,2015-10-01
1379,2015-10-11,2015-01-01,2015-10-01,2015-10-01
1380,2015-10-12,2015-01-01,2015-10-01,2015-10-01
